sample,source_domain,deformation_type,noise_level,coherence_level,gradient_level,difficulty_score,coarse_mae,ls_masked_mae,ls_masked_rmse,ls_wrapped_mae,ls_gradient_mae,ls_gain_mae,qg_masked_mae,qg_masked_rmse,qg_wrapped_mae,qg_gradient_mae,qg_gain_mae,unet_masked_mae,unet_masked_rmse,unet_wrapped_mae,unet_gradient_mae,unet_gain_mae,ddpm_masked_mae,ddpm_masked_rmse,ddpm_wrapped_mae,ddpm_gradient_mae,ddpm_gain_mae
real__20170522_20180809_y04096_x02048.npz,real,observed,observed,observed,observed,2.8390772342681885,4.194469,4.194469,4.796838,1.6444533,0.87449527,0.0,6.046212,6.55912,9.3994394e-08,0.8569067,-1.8517432,2.3678143,3.1572647,1.0688003,0.53342867,1.8266547,2.0062766,2.522567,1.088949,0.53646815,2.1881924
real__20170522_20180809_y04096_x02560.npz,real,observed,observed,observed,observed,3.205153703689575,2.9456677,2.9456677,3.467631,1.5814642,0.43126586,0.0,3.545331,4.660159,8.158473e-09,0.40464306,-0.59966326,4.1616006,4.25082,2.6671088,0.3710422,-1.2159328,3.8738344,4.0441604,2.3585851,0.4025058,-0.9281666
real__20170522_20180809_y04224_x02176.npz,real,observed,observed,observed,observed,2.8362555503845215,3.5447354,3.5447354,4.1404176,1.395306,0.56483144,0.0,4.75253,5.5507975,4.003666e-08,0.48638734,-1.2077947,2.9825408,3.1339958,1.8870641,0.38125092,0.5621946,2.5853472,2.887155,2.0622516,0.3967015,0.95938826
real__20170522_20180809_y04224_x02560.npz,real,observed,observed,observed,observed,3.2340760231018066,5.880786,5.880786,6.9954534,1.5480021,1.0281105,0.0,5.9156084,6.8213077,1.009828e-08,0.8122606,-0.034822464,3.2143843,3.5976734,1.329128,0.7942864,2.6664016,4.939955,5.373036,2.00667,0.7822597,0.9408307
real__20170522_20180809_y04352_x02560.npz,real,observed,observed,observed,observed,3.364131212234497,8.243968,8.243968,8.719439,1.3587683,1.2699682,0.0,9.553363,10.150293,6.121322e-08,1.1272467,-1.3093948,2.8438084,3.2857206,1.1998609,0.94938487,5.40016,5.719812,6.075576,1.7414395,0.9210999,2.524156
synthetic__syn_val_000003.npz,synthetic,fault_step,low,good,high,5.745162010192871,41.37085,41.37085,45.072598,1.589457,0.4131761,0.0,25.138668,25.140299,4.195236e-07,0.011075027,16.232182,18.863407,20.369936,1.5732951,0.20811453,22.507442,22.64701,24.487274,1.6740842,0.27970654,18.723839
synthetic__syn_val_000004.npz,synthetic,multi_lobe,medium,poor,low,2.7184865474700928,4.334109,4.334109,6.873854,1.5315655,0.098214746,0.0,0.6724741,0.83049846,4.391623e-08,0.026611764,3.6616347,2.0906205,3.456046,1.0313781,0.062073395,2.2434883,2.2344062,3.7688553,1.1800065,0.17681992,2.0997026
synthetic__syn_val_000005.npz,synthetic,ramp_bowl,high,mixed,low,3.2302334308624268,5.2871666,5.2871666,6.3718295,1.5602791,0.09343395,0.0,6.339185,6.4567733,9.441153e-08,0.06702824,-1.0520186,3.0201225,3.8139985,1.5724785,0.13842487,2.267044,3.2055137,3.6859214,1.5887693,0.14028546,2.0816529
synthetic__syn_val_000021.npz,synthetic,ramp_bowl,high,good,low,3.3491437435150146,5.7637825,5.7637825,6.8739166,1.5392118,0.080586836,0.0,6.1354513,6.2216406,8.987477e-08,0.037757237,-0.37166882,3.0460935,4.0418854,1.490365,0.11875393,2.717689,3.3908904,3.8140528,1.6466246,0.13596062,2.3728921
synthetic__syn_val_000026.npz,synthetic,mogi,low,mixed,medium,3.802475929260254,13.048241,13.048241,19.656538,1.3806105,0.24117461,0.0,6.3130846,6.317593,1.5114743e-07,0.036875255,6.735156,3.705351,6.249129,1.023465,0.14712827,9.34289,6.6222553,10.125673,1.2130303,0.21547428,6.4259853
synthetic__syn_val_000045.npz,synthetic,ramp_bowl,low,mixed,high,5.54485559463501,13.684998,13.684998,16.691412,1.5492429,0.19228646,0.0,12.595489,12.598295,2.0785623e-07,0.029603839,1.089509,6.7574525,7.9933,1.5752288,0.13884543,6.927545,8.650175,9.938913,1.6027454,0.20527813,5.0348225
synthetic__syn_val_000048.npz,synthetic,fault_step,high,mixed,medium,5.051585674285889,23.717014,23.717014,24.77627,1.6439496,0.19844635,0.0,18.768261,18.802307,3.0272986e-07,0.04182764,4.9487534,10.397627,11.594613,1.4632378,0.15954636,13.319387,12.629608,13.237105,1.5722172,0.20401521,11.087406
synthetic__syn_val_000075.npz,synthetic,fault_step,medium,mixed,high,5.3877363204956055,28.88381,28.88381,35.204613,1.5619973,0.49819884,0.0,28.387856,29.885708,3.4592676e-07,0.28933632,0.4959545,20.078705,23.041676,1.5362351,0.3457027,8.805105,20.58647,24.278627,1.6076049,0.40557086,8.29734
synthetic__syn_val_000080.npz,synthetic,fault_step,medium,poor,medium,6.025949001312256,30.529837,30.529837,31.914259,1.4542965,0.3973959,0.0,18.823685,18.841496,3.9954207e-07,0.11879356,11.706152,13.607471,14.594457,1.6319672,0.26116118,16.922365,16.67398,17.459362,1.669834,0.29594046,13.855856
synthetic__syn_val_000085.npz,synthetic,fault_step,low,poor,high,6.074268817901611,46.800503,46.800503,49.37449,1.5814519,0.76847035,0.0,12.663992,12.684131,5.4991915e-07,0.13648418,34.136513,22.25145,23.755508,1.563319,0.4495293,24.549053,25.953264,27.395386,1.7578884,0.5005084,20.847239
synthetic__syn_val_000086.npz,synthetic,mogi,medium,good,medium,3.5386385917663574,10.106703,10.106703,14.689897,1.5290356,0.16077653,0.0,6.262499,6.305183,8.700028e-08,0.04644847,3.844204,2.2558184,3.2382684,1.2775861,0.10358609,7.8508844,5.1821184,7.4241166,1.4325495,0.17768773,4.9245844
synthetic__syn_val_000089.npz,synthetic,mogi,medium,mixed,medium,3.837266445159912,10.958847,10.958847,14.570559,1.649852,0.1346954,0.0,6.293146,6.349576,9.475829e-08,0.021452531,4.665701,2.9889827,4.0329847,1.5137222,0.09093031,7.9698644,5.273927,7.1442685,1.5445712,0.16235255,5.68492
synthetic__syn_val_000127.npz,synthetic,mogi,high,mixed,low,2.3802926540374756,4.770916,4.770916,6.202525,1.5547625,0.08839876,0.0,5.8506413,6.056171,7.583311e-08,0.055711947,-1.0797253,2.410002,3.137814,1.5614334,0.13976344,2.360914,2.0864007,2.7507658,1.5486666,0.15120423,2.6845152
synthetic__syn_val_000133.npz,synthetic,fault_step,low,poor,medium,6.065518379211426,34.459377,34.459377,36.745785,1.5570451,0.50032604,0.0,28.431816,29.183233,3.9909722e-07,0.26846802,6.027561,17.072859,18.754137,1.5543574,0.33990526,17.386518,20.194225,21.502777,1.5370494,0.39809301,14.265152
synthetic__syn_val_000162.npz,synthetic,mogi,medium,poor,high,3.858475685119629,13.03894,13.03894,23.21481,1.6256592,0.29260296,0.0,6.336332,6.366248,1.8324663e-07,0.04399242,6.7026086,4.0487576,7.4989457,1.1684853,0.14734003,8.990183,6.8937206,12.457807,1.2283455,0.26374462,6.14522
synthetic__syn_val_000165.npz,synthetic,mogi,high,good,medium,2.78098726272583,6.742358,6.742358,9.957843,1.5407758,0.14132318,0.0,1.1162705,1.4151458,3.3746534e-08,0.06103298,5.6260877,2.4957917,3.1916585,1.4095424,0.11628695,4.246567,3.4266906,5.0019283,1.3624674,0.17522886,3.3156676
synthetic__syn_val_000174.npz,synthetic,ramp_bowl,high,poor,low,2.8991808891296387,4.6768064,4.6768064,5.157989,1.5972861,0.0765505,0.0,5.814131,5.964275,5.223647e-08,0.073820226,-1.1373243,2.0008984,2.443323,1.2166983,0.1067798,2.675908,2.4868004,2.8051386,1.8641015,0.14324848,2.190006
